file_name,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i1_c6.npy,0.016,0.013,0.012,0.0099,1,c6,0.4982,0.004446721638840605,0.4927244702781497,0.011968944714762298,0.26866666666666666,0.13279631855673643
i1_c7.npy,0.0112,0.0127,0.0072,0.0108,1,c7,0.4942666666666667,0.008085102899090958,0.4903562312534366,0.01804615150513312,0.262,0.10250281296953108
i1_g.npy,0.0123,0.0095,,,1,g,0.5020583333333333,0.0031511131190246054,0.5022243056144197,0.005963267664910851,0.3082833333333333,0.10771306662713778
i2_c0.npy,0.0096,0.0108,0.0136,0.0131,2,c0,0.4946,0.004742713709821971,0.48931901682268114,0.011194970009898723,0.22533333333333336,0.07242491897744098
i2_c1.npy,0.012,0.0103,0.008,0.0127,2,c1,0.4890666666666667,0.004880801391392832,0.47962464016712403,0.010671446728489346,0.31253333333333333,0.16175548075893922
i2_c2.npy,0.0128,0.0103,0.0104,0.0098,2,c2,0.5022666666666668,0.008219218670625297,0.5000588761614428,0.01081059829756126,0.4188,0.1618208062436142
i2_c3.npy,0.008,0.0108,0.0088,0.0092,2,c3,0.4952666666666666,0.0052328025208507765,0.49246864471241997,0.00830514279697055,0.36493333333333333,0.10294792642669182
i2_c4.npy,0.0168,0.0104,0.0128,0.0102,2,c4,0.5077333333333334,0.0059269628722380995,0.5203408697848962,0.017603353840942793,0.2313333333333333,0.10274153114598898
i2_c5.npy,0.012,0.0108,0.0144,0.0095,2,c5,0.49479999999999996,0.004766550115125182,0.49127944120512423,0.007537012603506609,0.33080000000000004,0.08413544635487075
i2_c6.npy,0.016,0.0104,0.0016,0.009,2,c6,0.48900000000000005,0.003656956840507319,0.48530995454585035,0.00415226122705684,0.3663999999999999,0.1050703891049551
i2_c7.npy,0.0152,0.0104,0.0104,0.0096,2,c7,0.4927333333333333,0.006891218244177803,0.48572845643751905,0.013121857864883863,0.2853333333333334,0.1091276113344169
i2_g.npy,0.0089,0.0087,,,2,g,0.4984833333333334,0.0033402428388101127,0.49771639941225615,0.005946079144499316,0.3172333333333333,0.0967612812831432
i3_c0.npy,0.0112,0.0089,0.008,0.0071,3,c0,0.4936666666666667,0.003755292561468713,0.48925644178616495,0.010551204464085591,0.34400000000000003,0.09298143183811845
i3_c1.npy,0.012,0.0087,0.012,0.0125,3,c1,0.49266666666666664,0.006042810236599811,0.47800500882575575,0.01775617985298568,0.2358666666666667,0.11303183425723726
i3_c2.npy,0.0064,0.0088,0.0088,0.007,3,c2,0.49379999999999996,0.0053153864707407095,0.4919887015418492,0.007683584402042014,0.39066666666666666,0.0821467521505804
i3_c3.npy,0.0064,0.0088,0.0056,0.0079,3,c3,0.49653333333333344,0.005339995838533538,0.4943396843148688,0.007040442134115387,0.3392,0.13032063024197924
i3_c4.npy,0.008,0.0087,0.0096,0.009,3,c4,0.49846666666666667,0.005966201099154783,0.4995088250398296,0.00807814056846511,0.38786666666666664,0.12346933042482881
i3_c5.npy,0.0056,0.0087,0.008,0.0074,3,c5,0.5058666666666667,0.003197221015541814,0.5069967583139859,0.004423492837117558,0.4533333333333333,0.08940653717088526
