,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i1_c0.npy,0.0224,0.0171,1,c0,0.518,0.010640801974788673,0.5479762375324587,0.03164118910502227,0.23840000000000003,0.04163075786002459
i1_c1.npy,0.032,0.0202,1,c1,0.48879999999999996,0.007125540915139949,0.47821460646847047,0.014915130187349131,0.26186666666666664,0.07294588557432298
i1_c2.npy,0.0288,0.0168,1,c2,0.5104000000000001,0.008591468636579759,0.5268848549012987,0.025831132752672622,0.20906666666666665,0.06260933547713862
i1_c3.npy,0.0304,0.0229,1,c3,0.5057333333333333,0.006152145064031655,0.5147337360724713,0.017175177092567065,0.21386666666666668,0.06970974744530989
i1_c4.npy,0.0288,0.0145,1,c4,0.49333333333333335,0.004967449602719233,0.4839083167499724,0.01395839871341113,0.22773333333333334,0.0678046868258792
i1_c5.npy,0.0384,0.0207,1,c5,0.4856,0.009588882451394769,0.4739882508397277,0.015222218957724245,0.2504,0.049339098762205484
i1_c6.npy,0.032,0.0166,1,c6,0.5168,0.004710272462041503,0.5443586060898854,0.023596181838738996,0.2402666666666667,0.07346315781094329
i1_c7.npy,0.0304,0.0171,1,c7,0.4984,0.006645299090334453,0.49949734963926806,0.0195340898704823,0.17893333333333336,0.0695243522483709
i1_c8.npy,0.0256,0.0145,1,c8,0.5194666666666666,0.005944932482562124,0.5388244599465154,0.013334713892582216,0.2808,0.07504523080560595
i1_c9.npy,0.0272,0.018,1,c9,0.4990666666666667,0.008509341272324738,0.49909951726824403,0.019145812775791915,0.22506666666666666,0.06981372039617682
i1_c10.npy,0.0304,0.0224,1,c10,0.5,0.006564551266715271,0.5021381872504814,0.01912944991195385,0.20133333333333334,0.06204629096265321
i1_c11.npy,0.024,0.0228,1,c11,0.4869333333333333,0.005962847939999424,0.46906872690215556,0.010001775261493151,0.19386666666666671,0.058986401446058365
i1_c12.npy,0.0256,0.0197,1,c12,0.5012,0.005614267539047274,0.5033597350314579,0.019424785614361464,0.16773333333333332,0.059361341703914425
i1_c13.npy,0.032,0.0173,1,c13,0.5145333333333334,0.007367194551222025,0.5413594551366437,0.026395616246291897,0.21520000000000003,0.06961225945669818
i1_c14.npy,0.0368,0.0186,1,c14,0.5058666666666666,0.003937286149395551,0.5147215737406704,0.004455496936532695,0.18506666666666668,0.0758759221067893
i1_c15.npy,0.04,0.0197,1,c15,0.4998666666666667,0.002282299035816499,0.5001258610001723,0.004821136311027328,0.2296,0.05640803725238688
i1_g.npy,0.0498,0.0441,1,g,0.5025750000000001,0.0004997916232458223,0.5308186421461597,0.00918713148001953,0.04851666666666667,0.016176157008249998
i2_c0.npy,0.0384,0.0237,2,c0,0.5077333333333334,0.005536143864540439,0.5161825166301073,0.013646246172277431,0.25733333333333336,0.06604348735660634
i2_c1.npy,0.0368,0.0255,2,c1,0.5003999999999998,0.0036587793957366015,0.49957954549777295,0.011822724336191548,0.2173333333333333,0.06791628834250457
i2_c2.npy,0.0384,0.0224,2,c2,0.5212,0.008575935323139203,0.5513517718832581,0.025939315123437414,0.23706666666666668,0.045792964039856124
i2_c3.npy,0.0416,0.0246,2,c3,0.49826666666666664,0.006255308856394604,0.4953879298220179,0.015245303984502988,0.2376,0.04920921322950273
i2_c4.npy,0.0416,0.0251,2,c4,0.5026666666666667,0.009596295581571518,0.5114510161108283,0.023060396302715086,0.21253333333333335,0.08654514557282934
i2_c5.npy,0.0352,0.0224,2,c5,0.5037333333333334,0.004373658524495123,0.5094923938667052,0.009258024205831921,0.19333333333333333,0.06125734423089383
i2_c6.npy,0.0448,0.0298,2,c6,0.5149333333333334,0.010231107249733796,0.5322079238681995,0.024137622064637803,0.24666666666666667,0.06509343711585337
i2_c7.npy,0.0304,0.0235,2,c7,0.5156,0.005420947026734979,0.5315553015549113,0.011832142766995837,0.2730666666666667,0.06959335855924441
i2_c8.npy,0.0272,0.019,2,c8,0.5057333333333334,0.009447868660297011,0.5238301405884312,0.031424412933147586,0.20693333333333333,0.06563034528495354
