file_name,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i4_c5.npy,0.1968,0.1959,0.1776,0.164,4,c5,0.5019999999999999,0.0017888543819998416,0.5053879172864915,0.004653919085283334,0.1852,0.009751581068387492
i4_c6.npy,0.1952,0.1962,0.18,0.1901,4,c6,0.4938,0.0010263202878893647,0.4841965663102101,0.0032441960268568193,0.19226666666666667,0.012407882799073965
i4_c7.npy,0.208,0.1957,0.16,0.1513,4,c7,0.5048666666666667,0.00014907119849996958,0.5144473891084829,0.0009471314275734939,0.1744,0.017368170120462698
i4_g.npy,0.1998,0.1964,,,4,g,0.5024,0.0005155902766086264,0.5057226619294496,0.0010235819091765055,0.21115000000000003,0.009282914413049386
i5_c0.npy,0.2136,0.2087,0.2064,0.188,5,c0,0.5142666666666666,0.0007180219742845834,0.5353954472171527,0.002407547688566543,0.2164,0.01291407500881628
i5_c1.npy,0.2112,0.2098,0.184,0.184,5,c1,0.504,0.00149666295470957,0.5103798199003263,0.003475026953005329,0.19586666666666666,0.011184910470013711
i5_c2.npy,0.2168,0.2063,0.1808,0.1779,5,c2,0.498,0.0017126976771553693,0.49473711744565585,0.004287810923787326,0.19079999999999997,0.008736131867136624
i5_c3.npy,0.22,0.2061,0.1888,0.185,5,c3,0.4958,0.0021385353243127173,0.4896974703121994,0.005054572890820922,0.20426666666666668,0.015776212754932312
i5_c4.npy,0.2216,0.2082,0.1696,0.1662,5,c4,0.5001333333333333,0.0014907119849998645,0.500118313454414,0.00380805010265467,0.1818666666666667,0.013479202086506782
i5_c5.npy,0.224,0.2082,0.1912,0.1932,5,c5,0.49746666666666656,0.000442216638714066,0.49365404540919405,0.001296667034251334,0.19893333333333332,0.009640654657346787
i5_c6.npy,0.208,0.2095,0.1648,0.158,5,c6,0.5005333333333334,0.0016275407487645116,0.5014717499110529,0.004192674464491607,0.17786666666666665,0.011835915211291813
