file_name,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i1_c1.npy,0.0472,0.0282,0.0112,0.012,1,c1,0.49426666666666663,0.0045762672804614685,0.4815932206167362,0.016258243991992202,0.22520000000000004,0.15112149637515726
i1_c2.npy,0.0472,0.024,0.0128,0.0161,1,c2,0.5063333333333333,0.0080445979113661,0.5217094085104881,0.027548900692607445,0.20759999999999998,0.09421082740322366
i1_c3.npy,0.0432,0.025,0.0096,0.0079,1,c3,0.5042666666666668,0.006510162995057975,0.5071809936705137,0.015330786231916449,0.3181333333333333,0.14749800751949912
i1_c4.npy,0.0368,0.0244,0.0088,0.0091,1,c4,0.5033333333333333,0.007975518095327021,0.5062742110985355,0.014645943865916597,0.2732,0.12740591299726503
i1_c5.npy,0.056,0.0259,0.02,0.0218,1,c5,0.49540000000000006,0.0015099668870541454,0.4886372455781478,0.006202354356358934,0.24253333333333335,0.10576090434980635
i1_c6.npy,0.0536,0.0267,0.012,0.0104,1,c6,0.5012666666666666,0.0019516374891072519,0.5013120149829438,0.0020716172018689963,0.49453333333333327,0.10196199727785293
i1_c7.npy,0.0456,0.0251,0.016,0.0142,1,c7,0.49993333333333334,0.00582141639885767,0.501456256089908,0.01204374021362585,0.2173333333333333,0.10294922157171574
i1_g.npy,0.0159,0.0149,,,1,g,0.5021416666666666,0.0045113206368965755,0.5052453549189115,0.009744793144677313,0.3061333333333333,0.14020813893002868
i2_c0.npy,0.0576,0.0235,0.016,0.0162,2,c0,0.5042,0.007180529228406494,0.506950435814185,0.012072936899491361,0.25973333333333337,0.12379567395062273
i2_c1.npy,0.0528,0.0254,0.0096,0.012,2,c1,0.4972000000000001,0.003115552385479447,0.49252709148874535,0.007778997930179712,0.2649333333333333,0.09556391694683837
i2_c2.npy,0.0384,0.0226,0.0104,0.0108,2,c2,0.49713333333333337,0.005303667494186348,0.49357613540866535,0.01170935831453229,0.29946666666666666,0.14198641562565842
