,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i4_c1.npy,0.9968,0.639,0.9968,0.6408,4,c1,0.6829333333333335,0.0023851391759998025,0.6133570687923269,0.0003758660650425898,0.9898666666666668,0.015503404643998528
i4_c2.npy,0.992,0.6357,0.9856,0.6343,4,c2,0.6599999999999999,0.0035777087639996827,0.5976744417466066,0.004728380818559729,0.98,0.016099689437998492
i4_c3.npy,0.9824,0.6641,0.976,0.664,4,c3,0.6533333333333333,0.004770278351999563,0.5939270366769325,0.0049137176425244206,0.9704,0.011113955191559846
i4_c4.npy,0.9872,0.6527,0.9808,0.654,4,c4,0.6729333333333333,0.003530187278632971,0.6077514921671322,0.004345718971615824,0.9760000000000001,0.011463565472109161
i4_c5.npy,0.9936,0.6488,0.9904,0.6432,4,c5,0.6893333333333334,0.000884433277428132,0.6184845381836923,0.001874408448402252,0.9885333333333333,0.014907119849998571
i4_c6.npy,0.9952,0.6422,0.9936,0.6405,4,c6,0.6797333333333334,0.0029814239699997224,0.6113468535349985,0.004306337224589849,0.9874666666666666,0.01371455026199873
i4_c7.npy,0.992,0.6634,0.9856,0.6588,4,c7,0.6609333333333334,0.0007180219742845834,0.5980701402520335,0.0025158783454007623,0.9818666666666668,0.0162294656583498
i4_c8.npy,0.9808,0.6456,0.9824,0.6406,4,c8,0.6674666666666665,0.003714236873915748,0.6043197359564688,0.0001789088071951893,0.9701333333333332,0.02171655794293582
i4_c9.npy,0.9824,0.6409,0.9792,0.6391,4,c9,0.6779999999999999,0.0004000000000000114,0.6121586543896206,0.002776368572014489,0.9720000000000001,0.019677398201998132
i4_c10.npy,0.9936,0.6342,0.9952,0.6339,4,c10,0.6816000000000001,0.0035777087639996424,0.6123254633019094,0.004010087301740728,0.9903999999999998,0.008616263691415226
i4_c11.npy,0.9904,0.6623,0.9888,0.6589,4,c11,0.6761333333333335,0.0010749676997731316,0.609383142534416,0.00265983588142365,0.9815999999999999,0.013250408798725175
i4_c12.npy,0.992,0.6597,0.9872,0.655,4,c12,0.6621333333333334,0.003714236873915748,0.5993270244477436,0.004237453306653484,0.9789333333333333,0.011329411085998928
i4_c13.npy,0.992,0.6424,0.9888,0.6442,4,c13,0.6813333333333333,0.000884433277428104,0.6143726036044601,0.002259731059508445,0.9744,0.017888543819998333
i4_c14.npy,0.984,0.6738,0.9792,0.671,4,c14,0.6595999999999999,0.0026832815729997414,0.5981599146037716,0.004569203105550336,0.9736000000000001,0.019677398201998174
i4_c15.npy,0.992,0.6463,0.9872,0.6437,4,c15,0.6738666666666667,0.004173993557999602,0.6079436605115055,0.00501016148240401,0.98,0.01252198067399885
i4_g.npy,0.827,0.789,,,4,g,0.5205416666666667,0.00047029836865077464,0.5127326596801739,0.00020912831731505514,0.8276833333333333,0.03085246703623911
i5_c0.npy,0.992,0.6746,0.9888,0.6716,5,c0,0.6670666666666666,0.0030081371127142664,0.6021502372065409,0.00371554022014634,0.9853333333333333,0.011329411085998928
i5_c1.npy,0.992,0.6468,0.992,0.6421,5,c1,0.6825333333333335,0.0014907119849998612,0.6141069123921802,0.0003948094048353822,0.9823999999999998,0.010733126291998966
i5_c2.npy,0.9936,0.6411,0.9888,0.6403,5,c2,0.6657333333333333,0.0002981423969999805,0.6016000532826746,0.002710294259767611,0.9818666666666668,0.019081113407998174
i5_c3.npy,0.9856,0.6741,0.984,0.6719,5,c3,0.6538666666666666,0.001436043948569194,0.5938734662181152,0.002670125704672423,0.9738666666666668,0.015503404643998528
