,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i5_c98.npy,1.0,0.3169,0.2179487179487179,0.1816,5,c98,0.5277777777777778,0.0060436477024491024,0.5676630547598289,0.01837164664537754,0.2371794871794872,0.009791828408025284
i5_c99.npy,1.0,0.3142,0.1794871794871795,0.1807,5,c99,0.4967948717948718,0.004895914204012633,0.4911939191694476,0.012805753694525291,0.18803418803418803,0.012087295404898245
i5_c100.npy,1.0,0.3149,0.1282051282051282,0.157,5,c100,0.5085470085470085,0.0030218238512245512,0.5315298736351367,0.007645163581361425,0.14102564102564102,0.019583656816050603
i5_c101.npy,1.0,0.3031,0.2051282051282051,0.1559,5,c101,0.5598290598290597,0.011506762408407081,0.6848680037085835,0.02470803600271097,0.22222222222222218,0.03282540917892569
i5_c102.npy,1.0,0.3175,0.282051282051282,0.1698,5,c102,0.5715811965811964,0.002388961514422844,0.6683006535947712,0.0036537058455879193,0.2841880341880341,0.004777923028845709
i5_c103.npy,1.0,0.3121,0.1794871794871795,0.1855,5,c103,0.4647435897435898,0.010303045684821537,0.421004921004921,0.01786773314557434,0.1858974358974359,0.009791828408025297
i5_c104.npy,1.0,0.2981,0.2435897435897435,0.1746,5,c104,0.548076923076923,0.004895914204012681,0.6202614379084967,0.018795822019017507,0.25,0.009791828408025295
i5_c105.npy,1.0,0.2975,0.1923076923076923,0.1983,5,c105,0.5064102564102564,0.0,0.5168930686172065,0.00077884638714728,0.19658119658119658,0.009555846057691405
i5_c106.npy,1.0,0.3201,0.1794871794871795,0.1679,5,c106,0.5256410256410255,0.0097918284080253,0.5774193548387098,0.033263888813458105,0.1987179487179487,0.009791828408025295
i5_c107.npy,1.0,0.315,0.1794871794871795,0.1937,5,c107,0.4935897435897436,0.003700963264036066,0.4840389784946237,0.009024226479835876,0.19658119658119658,0.009555846057691407
i5_c108.npy,1.0,0.3082,0.2051282051282051,0.172,5,c108,0.5373931623931624,0.002388961514422844,0.5995753139965664,0.010924113765884163,0.2264957264957265,0.01417361021519401
i5_c109.npy,1.0,0.3148,0.2692307692307692,0.1862,5,c109,0.5256410256410257,0.0,0.5517543859649123,0.0012405382126079818,0.2735042735042735,0.0060436477024491285
i5_c110.npy,1.0,0.3082,0.2179487179487179,0.1527,5,c110,0.5384615384615384,0.00370096326403605,0.6024630541871921,0.0077236813309633735,0.2264957264957265,0.01911169211538281
i5_c111.npy,1.0,0.3149,0.1794871794871795,0.1565,5,c111,0.547008547008547,0.0030218238512246037,0.667055167055167,0.00809349908935494,0.18803418803418803,0.014173610215194019
i5_c112.npy,1.0,0.2914,0.1794871794871795,0.1567,5,c112,0.5267094017094017,0.002388961514422844,0.5838081671415005,0.004572972527126833,0.1858974358974359,0.009791828408025297
i5_c113.npy,1.0,0.3129,0.2179487179487179,0.1696,5,c113,0.5,0.00370096326403605,0.49975579975579976,0.007832511081792235,0.22435897435897437,0.014333769086537107
i5_c114.npy,1.0,0.3212,0.1666666666666666,0.1764,5,c114,0.49893162393162394,0.002388961514422844,0.49731182795698925,0.006010935423386526,0.18376068376068377,0.0060436477024491285
i5_c115.npy,1.0,0.3041,0.0897435897435897,0.1377,5,c115,0.5213675213675214,0.004777923028845688,0.5996658312447787,0.011585587851869483,0.12820512820512822,0.019583656816050593
i5_c116.npy,1.0,0.3061,0.141025641025641,0.1698,5,c116,0.4626068376068377,0.002388961514422844,0.4003201659451659,0.011763107783858799,0.15170940170940173,0.015555790361710507
i5_c117.npy,1.0,0.321,0.1538461538461538,0.1474,5,c117,0.4967948717948718,0.004895914204012633,0.48880341880341877,0.01298835995568801,0.17307692307692304,0.03756067485309175
i5_c118.npy,1.0,0.31,0.282051282051282,0.185,5,c118,0.5587606837606837,0.00575338120420351,0.629007579007579,0.010853694368174599,0.28632478632478625,0.009555846057691416
i5_c119.npy,1.0,0.3272,0.1666666666666666,0.1558,5,c119,0.5245726495726496,0.002388961514422844,0.5776353276353277,0.010148010576050583,0.18376068376068377,0.0060436477024491285
i5_c120.npy,1.0,0.3179,0.1538461538461538,0.1579,5,c120,0.5106837606837606,0.007086805107597022,0.5323498964803313,0.018206296415074073,0.1688034188034188,0.021474093207523266
i5_c121.npy,1.0,0.3002,0.2435897435897435,0.1731,5,c121,0.5737179487179486,0.004895914204012632,0.7111938240970499,0.02785728123859707,0.25,0.009791828408025295
i5_c122.npy,1.0,0.3201,0.1153846153846153,0.135,5,c122,0.48290598290598297,0.012641196117734226,0.4425834701696771,0.029868988664762463,0.1217948717948718,0.009791828408025295
i5_c123.npy,1.0,0.3197,0.1538461538461538,0.1532,5,c123,0.5085470085470085,0.007994994416183647,0.5273132664437012,0.023563502104624566,0.1623931623931624,0.014173610215194017
i5_c124.npy,1.0,0.3203,0.2051282051282051,0.1721,5,c124,0.48183760683760685,0.002388961514422844,0.4598997493734336,0.006164598434209942,0.20940170940170935,0.009555846057691417
i5_c125.npy,1.0,0.3081,0.1794871794871795,0.1571,5,c125,0.5544871794871794,0.004895914204012633,0.6688888888888888,0.004969039949999565,0.2158119658119658,0.018749923904684017
i5_c126.npy,1.0,0.3098,0.2051282051282051,0.143,5,c126,0.5352564102564102,0.007166884543268573,0.5969295444870157,0.012768204379034705,0.2158119658119658,0.018749923904684017
i5_c127.npy,1.0,0.3158,0.2692307692307692,0.1407,5,c127,0.5790598290598291,0.007086805107597028,0.7048787187288709,0.02785511083530349,0.2735042735042735,0.009555846057691416
i5_g.npy,0.299,0.2928,,,5,g,0.5029166666666666,0.00030641293851416503,0.504784122227017,0.0005425164525034516,0.30824999999999997,0.008306573701994491
i6_c0.npy,1.0,0.3218,0.1282051282051282,0.1534,6,c0,0.5010683760683761,0.002388961514422844,0.503968253968254,0.008873285624999176,0.1346153846153846,0.009791828408025307
i6_c1.npy,1.0,0.3346,0.1794871794871795,0.1987,6,c1,0.4775641025641026,0.004895914204012657,0.4465608465608466,0.013533174734634182,0.19017094017094016,0.015555790361710507
i6_c2.npy,1.0,0.3218,0.2564102564102564,0.186,6,c2,0.5662393162393161,0.004777923028845688,0.6642909356725145,0.016488941934878702,0.2692307692307692,0.019583656816050614
i6_c3.npy,1.0,0.3253,0.1282051282051282,0.1733,6,c3,0.4967948717948718,0.007166884543268531,0.48883108303398154,0.022226547190346484,0.1517094017094017,0.015555790361710507
i6_c4.npy,1.0,0.3154,0.2435897435897435,0.1933,6,c4,0.5438034188034188,0.002388961514422844,0.5941239316239316,0.009336531065179874,0.27777777777777773,0.012087295404898257
i6_c5.npy,1.0,0.3117,0.1923076923076923,0.1428,6,c5,0.5235042735042734,0.004777923028845729,0.5690045248868777,0.01770642063631053,0.1987179487179487,0.014333769086537114
i6_c6.npy,1.0,0.3269,0.2051282051282051,0.1927,6,c6,0.5117521367521367,0.002388961514422844,0.5293771043771044,0.006677477375513048,0.21367521367521367,0.014173610215194019
i6_c7.npy,1.0,0.3252,0.2307692307692307,0.1916,6,c7,0.516025641025641,0.004895914204012681,0.5349899138089124,0.011849164108407407,0.25,0.009791828408025295
i6_c8.npy,1.0,0.3112,0.1923076923076923,0.1476,6,c8,0.5405982905982906,0.004777923028845729,0.6263736263736264,0.008165089056834718,0.20085470085470084,0.014173610215194017
i6_c9.npy,1.0,0.3181,0.1794871794871795,0.1876,6,c9,0.5438034188034188,0.002388961514422844,0.6520984299516908,0.026625423500415264,0.19230769230769232,0.02340694690193017
i6_c10.npy,1.0,0.3186,0.2435897435897435,0.1454,6,c10,0.5352564102564102,0.004895914204012633,0.5831766917293234,0.015907030084265257,0.25,0.009791828408025295
i6_c11.npy,1.0,0.3218,0.1794871794871795,0.1681,6,c11,0.5085470085470085,0.009555846057691397,0.5238095238095237,0.024677267785382435,0.19658119658119658,0.009555846057691405
i6_c12.npy,1.0,0.3261,0.1153846153846153,0.184,6,c12,0.48504273504273504,0.0030218238512245512,0.44882740447957836,0.008225607826393309,0.13034188034188032,0.004777923028845708
i6_c13.npy,1.0,0.3068,0.2179487179487179,0.1636,6,c13,0.530982905982906,0.002388961514422844,0.5722137339784399,0.006193401284018894,0.24572649572649574,0.004777923028845697
i6_c14.npy,1.0,0.3153,0.1282051282051282,0.1422,6,c14,0.5213675213675214,0.004777923028845688,0.5918226939898767,0.012638883813296139,0.13675213675213674,0.014173610215194019
i6_c15.npy,1.0,0.323,0.2564102564102564,0.1913,6,c15,0.5566239316239315,0.002388961514422844,0.6361681329423264,0.01649080340061103,0.2670940170940171,0.018749923904684034
i6_c16.npy,1.0,0.2889,0.0512820512820512,0.1445,6,c16,0.4764957264957265,0.004777923028845709,0.3758267195767196,0.029918112259684056,0.07264957264957266,0.012087295404898252
i6_c17.npy,1.0,0.3295,0.1538461538461538,0.1725,6,c17,0.48717948717948717,0.0,0.4619963369963371,0.0010238406490383617,0.15598290598290598,0.004777923028845697
i6_c18.npy,1.0,0.3339,0.2435897435897435,0.2137,6,c18,0.5,0.00370096326403605,0.4998012323593719,0.007063246635353383,0.25,0.014333769086537114
i6_c19.npy,1.0,0.3248,0.1794871794871795,0.1664,6,c19,0.5320512820512819,0.009065471553673694,0.594017094017094,0.027997161289161035,0.20512820512820515,0.01282051282051282
i6_c20.npy,1.0,0.3065,0.1025641025641025,0.145,6,c20,0.48931623931623935,0.0030218238512245777,0.45495380964488513,0.01492109238055307,0.1111111111111111,0.014173610215194019
i6_c21.npy,1.0,0.311,0.1538461538461538,0.1811,6,c21,0.5096153846153846,0.007166884543268573,0.5301868296620921,0.020965511289535336,0.16666666666666666,0.018130943107347374
i6_c22.npy,1.0,0.3141,0.1923076923076923,0.1556,6,c22,0.5384615384615384,0.0097918284080253,0.6109751575824991,0.017053247349550393,0.2094017094017094,0.025282392235468437
i6_c23.npy,1.0,0.3116,0.1538461538461538,0.1588,6,c23,0.4967948717948718,0.004895914204012633,0.48954022988505747,0.014380683892977881,0.1688034188034188,0.021474093207523266
i6_c24.npy,1.0,0.3112,0.2179487179487179,0.1931,6,c24,0.47542735042735046,0.009374961952342014,0.45210473098823906,0.016857777616097785,0.23290598290598288,0.021474093207523262
i6_c25.npy,1.0,0.3057,0.2564102564102564,0.1931,6,c25,0.532051282051282,0.011703473450965087,0.5716440422322776,0.027743347735186337,0.26068376068376065,0.009555846057691417
i6_c26.npy,1.0,0.3131,0.2179487179487179,0.1853,6,c26,0.5085470085470085,0.007086805107596983,0.519736543265955,0.015862521090378577,0.2307692307692308,2.7755575615628914e-17
i6_c27.npy,1.0,0.3229,0.1025641025641025,0.1821,6,c27,0.48717948717948717,0.007401926528072131,0.4478114478114478,0.02667168268982299,0.11324786324786323,0.018749923904684027
i6_c28.npy,1.0,0.301,0.1794871794871795,0.1761,6,c28,0.5096153846153846,0.007166884543268531,0.5287198433750158,0.020578948414199865,0.18162393162393164,0.004777923028845708
i6_c29.npy,1.0,0.3244,0.1153846153846153,0.1758,6,c29,0.46367521367521375,0.004777923028845688,0.38769841269841265,0.02142489680427475,0.12820512820512822,0.019583656816050593
i6_c30.npy,1.0,0.3219,0.1666666666666666,0.186,6,c30,0.5170940170940171,0.006043647702449148,0.5504517704517705,0.019465394318409632,0.19658119658119658,0.028347220430388027
i6_c31.npy,1.0,0.322,0.1538461538461538,0.1712,6,c31,0.46688034188034194,0.002388961514422844,0.414998973727422,0.006665490283245352,0.1623931623931624,0.014173610215194017
