,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i1_c3.npy,0.0176,0.0164,1,c3,0.5029333333333333,0.009618500691664764,0.5058713321211338,0.01755722202037613,0.3202666666666667,0.0640560865353342
i1_c4.npy,0.0192,0.0106,1,c4,0.4890666666666666,0.006767241354906406,0.4764984274683038,0.01564657713841011,0.25893333333333335,0.08132458969394736
i1_c5.npy,0.0112,0.0121,1,c5,0.4930666666666667,0.00555537777493324,0.48063339216154977,0.019051792376047705,0.21813333333333332,0.10666799999166676
i1_c6.npy,0.0128,0.0111,1,c6,0.49520000000000003,0.0017888543819998333,0.4880480281696724,0.00755756880008068,0.22266666666666668,0.0625121499301447
i1_c7.npy,0.0112,0.0118,1,c7,0.5008,0.012333153151836987,0.5045937544713582,0.016991135667112307,0.33653333333333335,0.08882842387934668
i1_c8.npy,0.0192,0.0162,1,c8,0.5177333333333333,0.0068883153883143936,0.5395285358430869,0.022633594033050878,0.2842666666666666,0.08610154212065864
i1_c9.npy,0.0128,0.016,1,c9,0.5015999999999999,0.006677324813626094,0.5059577324996468,0.014635746590077225,0.2336,0.07424643650259137
i1_c10.npy,0.0288,0.0165,1,c10,0.5118666666666666,0.008433794453796512,0.5215071386199598,0.013417565540453246,0.28933333333333333,0.11204348362230722
i1_c11.npy,0.0192,0.0182,1,c11,0.4921333333333333,0.009604628513841074,0.47930698190200666,0.027683659898621538,0.2434666666666667,0.09127677080664548
i1_c12.npy,0.0256,0.0111,1,c12,0.496,0.012141389267021022,0.4934282718476866,0.021487385917469366,0.2541333333333334,0.07848929155552935
i1_c13.npy,0.0192,0.015,1,c13,0.5017333333333333,0.007467857047968255,0.5049838436696006,0.020463847013602116,0.22186666666666668,0.11150238662119401
i1_c14.npy,0.016,0.0135,1,c14,0.5012,0.0064621977685614005,0.501295110521328,0.013002537490917229,0.2850666666666667,0.1225451572097223
i1_c15.npy,0.0176,0.0136,1,c15,0.4978666666666666,0.009913402824235265,0.49682493578312475,0.01733946982299702,0.2434666666666667,0.06028849162337885
i1_g.npy,0.0288,0.0269,1,g,0.5008833333333332,0.001964405479754354,0.5067092452384411,0.009933553114003292,0.10318333333333334,0.04585024233547978
i2_c0.npy,0.0208,0.0144,2,c0,0.5008,0.004732863826479709,0.5000179450452584,0.009032469525741193,0.2973333333333333,0.08530374487025108
i2_c1.npy,0.0112,0.0115,2,c1,0.49039999999999995,0.011266469426281372,0.4834835071550215,0.017175496512903326,0.2602666666666667,0.08258060035841078
i2_c2.npy,0.016,0.0153,2,c2,0.5072,0.010693300083073835,0.5098701555320139,0.02438310467840813,0.22293333333333334,0.1060059537112054
i2_c3.npy,0.0256,0.0145,2,c3,0.5224000000000001,0.0026127890589687187,0.5484931281932306,0.013795973978846724,0.2688,0.06833954443317085
i2_c4.npy,0.0128,0.0162,2,c4,0.5048,0.00916806050009126,0.5106585652720571,0.012692601856926314,0.35306666666666664,0.09607404551814307
i2_c5.npy,0.0128,0.0151,2,c5,0.4981333333333333,0.0076408260170103505,0.491155398277307,0.017835616481324014,0.1965333333333333,0.06558970108857708
i2_c6.npy,0.0176,0.0172,2,c6,0.5046666666666667,0.011624495210067792,0.5122105720229484,0.0198399043865024,0.2597333333333333,0.10157444998073525
i2_c7.npy,0.0144,0.013,2,c7,0.5250666666666667,0.0037142368739157706,0.5441560159976062,0.014240867232479505,0.33626666666666666,0.08754996034011413
i2_c8.npy,0.0096,0.0106,2,c8,0.4852,0.02028989896475585,0.4721303754554211,0.03965424022937632,0.30106666666666665,0.0963346020677698
i2_c9.npy,0.0192,0.0157,2,c9,0.5018666666666666,0.010749676997731402,0.5074874561972509,0.018402544455265343,0.2690666666666667,0.06542035021476286
i2_c10.npy,0.0272,0.0163,2,c10,0.5190666666666667,0.005904423953462525,0.5380603773029283,0.013275561629994556,0.29119999999999996,0.07552836111907456
i2_c11.npy,0.032,0.0188,2,c11,0.5137333333333334,0.00663592914033561,0.5358941532733527,0.018288313408560648,0.22373333333333334,0.057920712088931445
i2_c12.npy,0.0256,0.0193,2,c12,0.5089333333333333,0.0067947692299951306,0.5183501075473272,0.01497758651672849,0.2717333333333333,0.0697816276361877
i2_c13.npy,0.0112,0.0157,2,c13,0.49066666666666664,0.008771671575145893,0.4801184780485012,0.018449314717678515,0.2637333333333333,0.09358024482882178
i2_c14.npy,0.0256,0.0122,2,c14,0.5101333333333333,0.0071205492921699535,0.5211091956851804,0.014571362547764838,0.2648,0.11958952016516053
i2_c15.npy,0.0256,0.0189,2,c15,0.5045333333333334,0.00812786701553503,0.5130169669596252,0.019693046102653617,0.26613333333333333,0.07819110492178051
i2_g.npy,0.0284,0.0266,2,g,0.5015583333333334,0.0018100222527791061,0.5062793681941907,0.006866463437836714,0.15378333333333336,0.05109945911868561
i3_c0.npy,0.0208,0.0143,3,c0,0.5039999999999999,0.009852241707685958,0.5065580640364112,0.018475386137986587,0.27013333333333334,0.0702751418038808
i3_c1.npy,0.0144,0.0129,3,c1,0.48880000000000007,0.005637966536497592,0.4788647812312274,0.010667063422116981,0.2677333333333333,0.08135737349633543
i3_c2.npy,0.024,0.017,3,c2,0.49853333333333333,0.009889163541753945,0.4932292498268546,0.020633662430906273,0.2576,0.08054746012962377
i3_c3.npy,0.0288,0.0163,3,c3,0.5112,0.012026637102698337,0.5193528124674688,0.016434293102033936,0.3002666666666666,0.11081532184475014
i3_c4.npy,0.016,0.014,3,c4,0.5086666666666667,0.01464543918388551,0.5228332017699345,0.032013602679611404,0.2616,0.09035751213927927
i3_c5.npy,0.0176,0.0155,3,c5,0.49626666666666663,0.014486161979243824,0.48789907038207164,0.02899765648365804,0.25866666666666666,0.09450690744890321
i3_c6.npy,0.0208,0.0153,3,c6,0.5006666666666667,0.013075507213446405,0.49662923407594856,0.021622008815189726,0.24666666666666667,0.12039549640894195
