,epsilon,1e-08l2_train_acc,1e-08l2_test_acc,1e-07l2_train_acc,1e-07l2_test_acc,1e-06l2_train_acc,1e-06l2_test_acc,1e-05l2_train_acc,1e-05l2_test_acc,0.0001l2_train_acc,0.0001l2_test_acc,0.0005l2_train_acc,0.0005l2_test_acc,0.001l2_train_acc,0.001l2_test_acc,0.005l2_train_acc,0.005l2_test_acc,0.01l2_train_acc,0.01l2_test_acc,0.05l2_train_acc,0.05l2_test_acc,0.1l2_train_acc,0.1l2_test_acc,1.0l2_train_acc,1.0l2_test_acc,10.0l2_train_acc,10.0l2_test_acc
43,8000.0,0.0144,0.0142,0.0162,0.0179,0.3956,0.2528,0.9999,0.5381,0.8748,0.5524,0.8682,0.548,0.8656,0.5488,0.8271,0.5255,0.7756,0.4981,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
44,9000.0,0.0143,0.014,0.0309,0.0252,0.4087,0.2632,0.9998,0.5401,0.874,0.5519,0.8687,0.5478,0.8656,0.5489,0.8271,0.5256,0.7754,0.4984,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
45,10000.0,0.0128,0.0128,0.038,0.0276,0.4548,0.2871,0.9999,0.5392,0.8746,0.5539,0.8689,0.5479,0.8658,0.5489,0.8272,0.5253,0.7754,0.4983,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
46,20000.0,0.0144,0.0141,0.072,0.0523,0.7086,0.4319,0.9999,0.5389,0.8744,0.5541,0.8689,0.548,0.8656,0.549,0.8271,0.5253,0.7754,0.4984,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
47,30000.0,0.0111,0.0122,0.1148,0.0863,0.8048,0.4974,0.9999,0.5393,0.8746,0.5535,0.8685,0.5477,0.8657,0.5489,0.8271,0.5256,0.7754,0.4983,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
48,40000.0,0.0126,0.0123,0.1747,0.1221,0.8233,0.5168,0.9999,0.5384,0.8748,0.5544,0.8686,0.5478,0.8658,0.5488,0.8271,0.5254,0.7754,0.4985,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
49,50000.0,0.0166,0.0186,0.2054,0.1364,0.8394,0.5187,0.9999,0.5399,0.8744,0.5538,0.8688,0.5479,0.8658,0.5489,0.8271,0.5255,0.7754,0.4984,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
50,60000.0,0.0228,0.0212,0.2492,0.1674,0.858,0.5387,0.9999,0.5396,0.8748,0.5545,0.8689,0.5478,0.8658,0.5489,0.8271,0.5255,0.7754,0.4983,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
51,70000.0,0.0193,0.0213,0.3256,0.2208,0.8569,0.5348,0.9999,0.5402,0.8747,0.5542,0.869,0.5479,0.8658,0.5488,0.8271,0.5255,0.7754,0.4984,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
52,80000.0,0.0197,0.018,0.3186,0.2034,0.8685,0.5494,0.9999,0.5404,0.8747,0.5546,0.8688,0.5478,0.8658,0.5489,0.8271,0.5254,0.7754,0.4984,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
53,90000.0,0.0359,0.0322,0.4403,0.2891,0.8604,0.5417,0.9999,0.5394,0.8747,0.5544,0.8687,0.5479,0.8658,0.5489,0.8271,0.5255,0.7754,0.4985,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
54,100000.0,0.0218,0.021,0.4771,0.2961,0.8626,0.5417,0.9999,0.5401,0.8749,0.5538,0.8687,0.5478,0.8658,0.549,0.8271,0.5255,0.7754,0.4985,0.3943,0.2762,0.2185,0.1688,0.0325,0.0248,0.0293,0.0225
